"사업번호","자치구","법정동","사업구분","운영구분","추진위원회/조합명","대표지번","진행단계","상태","토지등 소유자 수","정비구역명칭","정비구역위치","정비구역면적(㎡)","건축연면적(㎡)","용도지역","용도지구","택지면적(㎡)","도로면적(㎡)","공원면적(㎡)","녹지면적(㎡)","공공공지면적(㎡)","학교면적(㎡)","기타면적(㎡)","주용도","건폐율","용적률","높이(m)","지상층수","지하층수","분양세대총수","60㎡이하","60㎡초과~85㎡이하","85㎡초과","임대세대총수","(임대)40㎡이하","(임대)40㎡초과~50㎡이하","(임대)50㎡초과","건축계획비고","위치도","조감도","배치도","조합사무실 주소","조합사무실 전화번호"
"11590-100002000","동작구","상도동","재건축","조합청산","상도대림아파트 주택재건축 조합","상도동 36-1","조합청산","운영","436","상도대림아파트 주택재건축정비사업","동작구 상도동 36-1번지","44100.40","141378.18","일반주거지역","일반미관지구","39341.00","863.10","1720.00","2090.30","86.00","","","공동주택 및 부대복리시설","18.82","244.26","82","29","4","888","248","584","56","5","","","5","","/servlet/image/assc/2010/09/201009101328251284092905562.jpg","/servlet/image/assc/2016/03/201603251727091458894429528.jpg","/servlet/image/assc/2016/03/201603251731541458894714464.jpg","대화빌딩 302호","02-812-3666"
"11590-100001001","동작구","노량진동","재개발(주택정비형)","조합","노량진1재정비촉진구역 조합","노량진동 278-2","사업시행인가","운영","1081","노량진1재정비촉진구역","동작구 노량진동278-4번지","132132.00","471972.52","제3종 일반 주거지역","재정비촉진지구","106125.00","10237.00","9000.00","","","","6770.00","공동주택 및 부대시설","25.88","265.67","110","33","4","2461","1322","1041","98","531","214","180","137","","/servlet/image/assc/2011/08/201108241232451314156765203.jpg","/servlet/image/assc/2023/04/202304181126291681784789680.jpg","/servlet/image/assc/2023/04/202304181128591681784939770.jpg","201호","02-823-5566"
"11500-900000635","강서구","화곡동","재건축","조합","화곡1 주택재건축정비사업조합","화곡동 1027-50","이전고시","운영","297","화곡1 주택재건축정비사업","강서구 화곡동 1027-50","31237.00","80382.84","제2종 일반주거지역","공항시설보호지구","26632.00","1505.00","1570.00","","","","1530.00","공동주택","24.89","217.39","70","15","2","574","357","217","","0","","","","","/servlet/image?url=images/assc/2016/12/201612022144411480682681646.jpg","/servlet/image/assc/2020/07/202007141728421594715322282.jpg","/servlet/image/assc/2020/07/202007151012201594775540920.jpg","서울특별시 강서구 화곡로 223, 서울시 강서구 화곡로223, 3층(화곡동,거진빌딩) (화곡동)","02-2699-8234"
"11110-100008013","종로구","창신동","재개발(도시정비형)","추진위원회","창신4구역 도시환경정비사업 조합설립추진위원회","창신동 330-1","조합설립추진위원회승인","운영","184","창신4도시정비형 재개발사업 정비구역","창신동 329번지","11915.30","","일반상업지역","중심미관지구  방화지구","8976.80","1778.00","","247.00","","","1428.00","주거 판매","60.00","950.00","121","36","6","420","84","189","147","0","","","","","/servlet/image?url=images/assc/2022/07/202207071028441657157324784.jpg","/servlet/image?url=images/assc/2022/07/202207071047491657158469899.jpg","/servlet/image?url=images/assc/2022/07/202207071026261657157186530.jpg","숭인빌딩 302호","02-763-0321"
"11680-100003000","강남구","압구정동","재건축","조합","압구정한양7차아파트 재건축정비사업조합","압구정동 528","조합설립인가","운영","239","압구정한양7차 주택재건축정비사업","강남구 압구정동 528번지 ","16437.10","69137.90","제3종 일반주거지역","아파트지구","","","","","","","","","","260.07","","23","2","268","","","268","0","","","","","/servlet/image/assc/2010/11/201011091129551289269795718.jpg","","","72동 지층","02-516-9322"
"11290-900000814","성북구","장위동","가로주택정비","조합","장위13-6 가로주택정비사업 조합","장위동 232-41","조합설립인가","운영","95","장위13의6구역 가로주택정비사업","성북구 장위동 232-41","7976.72","22091.54","","","","","","","","","","","30.70","181.16","","","","182","126","56","","0","","","","","/servlet/image?url=images/assc/2021/12/202112081648421638949722830.jpg","","","서울특별시 성북구 장월로 121, 2층 (장위동)","02-919-4016"
"11230-100007002","동대문구","답십리동","재개발(주택정비형)","조합","답십리제16구역주택재개발정비사업조합","답십리동 178","조합해산","운영","1259","답십리제16주택재개발정비구역","동대문구 답십리동178번지일대","145976.00","396817.96","일반주거지역","2종일반주거지역","116693.80","15615.50","10476.00","1170.00","0.00","334.00","1687.00","공동주택(아파트)","23.15","242.35","75","22","3","2656","996","1231","429","452","304","148","","","/servlet/image/assc/2010/08/201008181546521282114012845.jpg","/servlet/image/assc/2010/08/201008181603561282115036031.jpg","/servlet/image/assc/2010/08/201008181603561282115036261.jpg","계림빌딩 2층","02-2214-1112"
"11290-900000097","성북구","돈암동","재개발(주택정비형)","조합","돈암6구역 주택재개발정비사업조합","돈암동 48-29","조합설립인가","운영","527","돈암제6 주택재개발정비구역","성북구 돈암동 48-29","47050.00","127865.64","제1종 및 제3종일반주거지역","중심미관지구일반미관지구","35244.00","9453.00","2353.00","","","","","공동주택","23.57","265.18","73","25","2","737","245","364","128","152","73","62","17","","/servlet/image/assc/2011/05/201105300958171306717097685.jpg","/servlet/image?url=images/assc/2017/10/201710171048061508204886517.png","/servlet/image?url=images/assc/2017/10/201710171048141508204894900.png","8호(돈암동, 고명아파트)","02-924-2277"
"11140-100002006","중구","신당동","재개발(주택정비형)","조합","신당제9구역 주택재개발정비사업조합","신당동 432-1008","조합설립인가","운영","153","신당제9 주택재개발정비구역","중구 신당2동 432-1008번지","18651.00","54028.85","제2종일반주거지역(7층이하)   제3종일반주거지역","최고고도지구(7층28m이하)   일반미관지구","17672.00","375.00","","","","","604.00","공동주택 및 부대복리시설","34.47","161.53","28","7","6","315","167","148","","0","","","","","/servlet/image?url=images/assc/2024/05/202405131252021715572322549.jpg","/servlet/image?url=images/assc/2020/12/202012101006011607562361565.jpg","/servlet/image?url=images/assc/2020/12/202012101006031607562363822.jpg","서울특별시 중구 다산로 41, 대명빌딩3층 (신당동)","02-2234-6660"
"11410-100006001","서대문구","연희동","재개발(주택정비형)","조합","연희제1구역 주택재개발정비사업조합","연희동 533","철거신고","운영","521","연희제1구역 주택재개발정비사업","서대문구 연희동 533번지","55173.00","146775.00","도시지역 제2종일반주거지역","해당없음","37722.00","9850.00","3258.00","1036.00","0.00","0.00","3307.00","공동주택(아파트) 및 부대복리시설","21.92","246.72","5755","20","3","1002","530","468","4","206","80","90","36","임대포함","/servlet/image/assc/201001271702001264579320879.jpg","/servlet/image/assc/2015/04/201504291300181430280018729.jpg","/servlet/image/assc/2015/04/201504291303231430280203598.jpg","서울특별시 서대문구 홍제천로 86-1, 3층 (연희동)","02-322-2050"
"11410-100003002","서대문구","홍은동","재개발(주택정비형)","조합","홍은제14구역주택재개발정비사업조합","홍은동 19-19","조합해산","운영","269","홍은제14구역 주택재개발정비사업조합","서대문구 홍은동 19-19번지","229.34","73994.22","제2종일반주거지역","-","18560.00","2983.00","1391.00","","","","","공동주택및부대복리시설","29.70","246.97","61","21","3","497","226","252","19","75","33","32","10","","/servlet/image/assc/2011/03/201103231156061300848966211.jpg","/servlet/image/assc/2011/11/201111221742551321951375235.jpg","/servlet/image/assc/2014/09/201409241333471411533227279.jpg","서울특별시 종로구 평창12길 3, 나라빌딩 305호 (평창동)","02-3217-8817"
"11380-100001069","은평구","증산동","재개발(주택정비형)","조합","증산2재정비촉진구역 주택재개발정비사업 조합","증산동 213-20","조합해산","운영","827","증산2재정비촉진구역 주택재개발정비사업조합","은평구 증산동 213-20번지","78755.20","206742.90","2종 일반주거지역","재정비촉진지구","55607.20","18652.00","4595.00","0.00","0.00","0.00","0.00","공동주택 및 부대복리시설","21.30","251.00","92","30","3","1149","302","847","","237","213","24","","","/servlet/image/assc/2012/02/201202221000321329872432966.jpg","/servlet/image/assc/2022/12/202212191025001671413100972.jpg","/servlet/image/assc/2022/12/202212191027101671413230123.jpg","302호","02-375-2213"
"11740-900000764","강동구","길동","소규모재건축","조합","길동한전우성아파트 소규모주택정비사업조합","길동 332","조합설립인가","운영","162","길동한전우성아파트 소규모주택정비사업","강동구 길동 332-0","6994.80","28071.90","2종 일반주거지역","","","","","","","","","","","249.98","","22","2","0","","","","0","","","","","/servlet/image?url=images/assc/2020/11/202011030953251604364805243.jpg","","/servlet/image?url=images/assc/2020/11/202011030953291604364809391.jpg","204호","02-6368-7708"
"11230-900000737","동대문구","용두동","재개발(주택정비형)","추진위원회","용두1도시환경정비구역 제5지구 조합설립추진위원회","용두동 23-1","조합설립추진위원회승인","운영","89","용두1도시환경정비구역 제5지구","동대문구 용두동 23-1","15457.10","36948.00","","","","","","","","","","준주거지역","50.00","549.00","60","18","5","693","","211","482","0","","","","","/servlet/image?url=images/assc/2021/01/202101221649391611301779419.jpg","","","서울특별시 동대문구 고산자로32길 50, 1층 (용두동)","02-960-7515"
"11170-900000172","용산구","한강로1가","재개발(도시정비형)","조합","한강로구역 도시환경정비사업조합","한강로1가 158-","조합설립인가","운영","268","한강로도시환경정비사업","용산구 한강로1가 158 일대","41744.00","172156.25","일반상업지역준주거지역제1종일반주거지역제2종일반주거지역제3종일반주거지역","중심지미관지구방화지구","41744.00","1854.00","7400.50","","","","","공동주택 업무시설 판매시설 근린생활시설","22.64","448.01","119","38","5","476","204","202","70","0","","","","","/servlet/image/assc/2011/12/201112201639401324366780034.bmp","/servlet/image/assc/2011/12/201112201657371324367857800.bmp","/servlet/image/assc/2011/12/201112201627001324366020415.bmp","서울특별시 용산구 한강대로62다길 35, 1층 (한강로1가)","02-795-0099"
"11590-100010000","동작구","대방동","재개발(주택정비형)","조합","노량진7재정비촉진구역 조합","대방동 13-31","관리처분인가","운영","376","노량진7재정비촉진구역","동작구 대방동 13-31번지","33613.00","","","","22478.00","2533.50","6887.60","","890.40","365.00","","공동주택","20.96","228.97","","","","420","82","268","70","90","44","36","10","","/servlet/image/assc/2011/01/201101131758401294909120730.jpg","/servlet/image/assc/2022/05/202205301328021653884882945.jpg","/servlet/image/assc/2022/05/202205301329401653884980756.jpg","202호","02-3280-8508"
"11380-100001032","은평구","응암동","재개발(주택정비형)","조합청산","응암제2구역 주택재개발정비사업 조합","응암동 36","조합청산","운영","1699","응암제2구역 주택재개발정비사업","은평구 응암동 363753번지","120765.20","362515.83","1종.2종 일반 주거지역","중심지 미관지구","99598.60","13305.60","7247.00","537.00","77.00","0.00","0.00","공동주택 및 부대복리시설","22.06","239.37","72","23","3","2179","1297","794","88","390","189","162","39","","/servlet/image/assc/2014/07/201407041501051404453665024.jpg","/servlet/image/assc/2019/01/201901291406301548738390082.jpg","/servlet/image/assc/2019/01/201901291407441548738464161.jpg","서운빌딩 305호","02-358-8558"
"11110-100003018","종로구","종로6가","재개발(도시정비형)","조합","종로6가 도시환경정비사업 조합","종로6가 117","조합해산","운영","83","종로6가 도시환경정비구역","종로구 종로6가 82-1번지","12556.30","","일반상업지역","","9665.40","","2890.90","","","","","","60.00","660.00","75","","","234","","","234","0","","","","","/servlet/image/assc/2010/12/201012241803091293181389626.jpg","/servlet/image/assc/2010/12/201012241803091293181389890.jpg","/servlet/image/assc/2010/12/201012241803101293181390137.jpg","성사빌딩 802호","02-764-8223"
"11740-100001047","강동구","고덕동","재건축","조합","고덕시영아파트 주택재건축정비사업조합","고덕동 670","조합해산","운영","2568","고덕시영아파트주택재건축정비사업구역","강동구 고덕동 670번지","194302.70","688558.45","제2종일반주거지역","공동주택(아파트 테라스하우스 및 부대시설)","16211.32","1480.51","1274.68","","","","4637.40","아파트","19.94","249.05","150","35","3","1214","19","837","358","211","","","211","","/servlet/image/assc/201001191531031263882663027.jpg","/servlet/image/assc/2011/11/201111181059341321581574404.jpg","/servlet/image/assc/2011/11/201111181057271321581447377.jpg","명일오피스텔 403호","02-426-1181"
"11680-900000761","강남구","압구정동","재건축","추진위원회","압구정아파트지구 특별계획구역① 재건축사업","압구정동 414","조합설립추진위원회승인","운영","1311","압구정아파트지구 특별계획구역① 재건축사업","강남구 압구정동 414번지","81454.00","359108.29","제3종 일반주거지역","아파트지구 미관지구","66247.10","2760.80","7160.00","2726.10","","","2560.00","공동주택 및 부대복리시설","25.40","299.94","","35","3","1393","","745","648","90","","90","","","/servlet/image?url=images/assc/2020/11/202011211420421605936042287.jpg","","","서울특별시 강남구 압구정로 113-22, 지하 2호 (압구정동)","02-514-2026"
"11560-100004036","영등포구","신길동","재개발(주택정비형)","조합","신길제2구역 주택재개발정비사업조합","신길동 190","조합설립인가","운영","888","신길제2구역","영등포구 신길동 190-0","116898.00","471.47","3종일반 주거지역","","92.63","15357.00","9156.00","","2523.00","","","공동주택","16.60","299.88","110","35","4","2105","878","1021","206","681","129","129","423","","/servlet/image?url=images/assc/2020/04/202004281741571588063317342.jpg","/servlet/image?url=images/assc/2024/07/202407300917541722298674096.jpg","/servlet/image?url=images/assc/2024/07/202407300917551722298675486.jpg","서울특별시 영등포구 도신로51길 5 (신길동)","02-832-4113"
"11680-100003003","강남구","개포동","재건축","조합","개포1동주공아파트 주택재건축정비사업조합","개포동 660-4","착공신고","운영","5236","개포1동 주공아파트 주택재건축 정비사업조합","강남구 개포1동 660번지","399741.70","1306341.07","제2종","일반주거지역","3997410.07","23485.80","13696.80","10046.90","11366.00","33710.20","10525.00","공동주택 및 부대복리시설","19.28","249.93","","35","4","6309","1682","2483","2144","393","","191","202","","/servlet/image?url=images/assc/2021/12/202112241111541640311914451.jpg","/servlet/image/assc/2018/05/201805181544251526625865880.jpg","/servlet/image/assc/2018/05/201805181555311526626531899.jpg","서울특별시 강남구 개포로 247, 3층 (개포동)","02-575-1723"
"11470-900000059","양천구","신월동","재건축","조합","신월4구역 주택재건축정비사업조합","신월동 489-3","준공인가","운영","154","신월4구역 주택재건축 정비사업","양천구 신월동 489-3외","15735.20","45639.00","2종 및 3종 주거지역","원추표면구역 진입표면구역","13391.00","12060.70","1137.90","0.00","0.00","0.00","0.00","공동주택 및 부대복리시설","26.19","228.78","52","18","2","282","111","171","","17","","","17","","/servlet/image/assc/2010/07/201007051027581278293278743.jpg","/servlet/image/assc/2020/11/202011161743311605516211192.jpg","/servlet/image/assc/2020/11/202011161745091605516309260.jpg","가인빌딩 2층","02-2065-7774"
"11170-100004002","용산구","한강로3가","재개발(도시정비형)","조합","용산역전면 제2구역 도시환경정비사업조합","한강로3가 391","이전고시","운영","77","용산역전면 제2구역 도시환경정비사업조합","한강로2가 391","18956.80","15102.76","일반상업지역","도시환경정비구역","8754.90","892.55","3592.20","","","","7520.00","공동주택업무시설판매시설","49.98","991.37","1474","39","9","151","","","151","0","","","","","/servlet/image/assc/2011/07/201107291439471311917987561.jpg","/servlet/image/assc/2014/05/201405231518421400825922349.jpg","/servlet/image/assc/2014/01/201401101658351389340715090.jpg","농협한강로지점건물 3층 후면","02-793-8639"
"11740-100000049","강동구","둔촌동","재건축","조합","둔촌주공아파트 주택재건축정비사업조합","둔촌동 172","착공신고","운영","6240","둔촌주공아파트 주택재건축사업 정비구역","강동구 둔촌1동 170-1일대","626232.50","2216298.57","제2 3종 일반주거지역","중심미관지구 일반미관지구","462771.40","43085.10","31456.20","0.00","3101.90","71937.10","1912.30","공동주택 및 부대복리시설","18.98","273.86","113","35","4","10060","2746","3948","3366","1046","538","270","238","","/servlet/image/assc/2010/04/201004161642211271403741781.jpg","/servlet/image/assc/2019/10/201910281426581572240418892.jpg","/servlet/image/assc/2019/10/201910281430411572240641677.jpg","316호","02-489-0222"
"11740-900001246","강동구","명일동","재건축","공공지원자","고덕주공9단지아파트 재건축정비사업","명일동 257","정비구역지정","운영","0","","","","","","","","","","","","","","","","","","","","0","","","","0","","","","","","","","",""
"11545-900001245","금천구","가산동","재개발(도시정비형)","조합","전자투표 테스트 조합","가산동 555-55","조합설립인가","운영","0","","","","","","","","","","","","","","","","","","","","0","","","","0","","","","","","","","",""
"11530-900000630","구로구","구로동","재건축","조합","구로동440번지일대(보광아파트)재건축정비사업조합","구로동 440","사업시행인가","운영","404","구로동 440번지일대(보광아파트) 주택재건축정비구역","구로구 구로동 440-0","32953.00","9549.20","제2종 제3종일반주거지역","","26562.00","4565.00","1651.00","","175.00","","","공동주택","23.87","232.96","","20","2","622","234","388","","0","","","","","/servlet/image?url=images/assc/2016/11/201611081402111478581331188.jpg","","/servlet/image?url=images/assc/2016/11/201611081402111478581331373.jpg","4층, 보광아파트 재건축 정비사업조합","02-838-1066"
"11230-900000765","동대문구","답십리동","재개발(주택정비형)","조합","답십리자동차부품상가 도시정비형 재개발정비사업조합","답십리동 952","조합설립인가","운영","553","답십리자동차부품상가 도시정비형 재개발정비사업","동대문구 답십리동 952-0","17882.00","179241.60","주거지역상업지역","","14094.00","2093.00","1695.00","","","","","공동주택 및 판매시설","59.26","799.87","1021","29","9","493","103","352","38","125","31","38","56","","/servlet/image?url=images/assc/2020/12/202012111038191607650699192.jpg","/servlet/image?url=images/assc/2024/11/202411191326181731990378960.jpg","/servlet/image?url=images/assc/2024/11/202411191326191731990379377.jpg","A동 301호","02-2249-7949"
"11500-100002009","강서구","염창동","재건축","조합","덕수연립주택재건축정비사업조합","염창동 283","조합해산","운영","36","덕수연립주택재건축정비사업조합","강서구 염창동 283번지","1736.70","6627.37","도시지역준주거지역(지구단위계획구역)","해당없음","0.00","0.00","0.00","0.00","0.00","0.00","0.00","공동주택업무시설","34.82","299.93","45","15","1","54","6","48","","0","","","","","/servlet/image?url=images/assc/2015/12/201512171358061450328286606.bmp","","","","02-2658-2120"
"11680-100002012","강남구","개포동","재건축","조합","개포시영(아) 주택재건축정비사업조합","개포동 656","조합해산","운영","1956","개포시영(아)주택재건축정비사업","개포동 656외","115910.00","427656.51","지구단위계획구역(특별계획구역)","제2종일반주거지역","115910.00","7034.00","1034.00","6269.00","490.00","0.00","0.00","공동주택 및 부대복리시설","20.74","249.99","35","35","3","2176","780","905","491","120","","32","88","","/servlet/image/assc/2013/07/201307151521171373869277473.bmp","/servlet/image/assc/2017/07/201707201459311500530371266.jpg","/servlet/image/assc/2017/07/201707201502271500530547751.jpg","서울특별시 서초구 바우뫼로41길 39, 선일빌딩 501호 (양재동)","02-574-6116"
"11500-100002014","강서구","염창동","재건축","조합","염창1주택재건축정비사업조합","염창동 277-24","이전고시","운영","209","염창1주택재건축정비사업조합","강서구 염창동 277-24번지 일대","21607.70","71186.11","제3종일반주거지역(지하2층 지상 20층)","","16467.60","3590.50","1229.10","","","","","공동주택 및 부대복리시설","25.96","289.68","57","20","2","429","136","293","","70","","","70","","/servlet/image/assc/201001221656461264147006045.jpg","/servlet/image?url=images/assc/2016/07/201607220050431469116243754.jpg","/servlet/image?url=images/assc/2016/07/201607220050441469116244214.jpg","2층","02-3664-2555"
"11200-100002009","성동구","성수동","재개발(주택정비형)","조합","성수전략정비구역 제1지구 주택재개발정비사업조합","성수동1가 72-10","조합설립인가","운영","1332","성수전략정비구역 제1지구","성동구 성수동1가 72-10번지","194398.00","422268.26","제2종제3종 일반주거지역자연녹지지역","역사문화미관지구","105595.00","39800.00","33612.00","","4115.00","10528.00","748.00","","21.47","309.22","50","","","2414","129","1704","581","495","52","130","313","","/servlet/image/assc/2011/08/201108100917481312935468743.jpg","/servlet/image/assc/2010/08/201008121018231281575903524.jpg","/servlet/image/assc/2011/08/201108100917481312935468916.jpg","3층","02-469-1400"
"11380-100001047","은평구","녹번동","재개발(주택정비형)","조합청산","녹번제1구역제1지구주택재개발정비사업조합","녹번동 53","조합청산","운영","519","녹번제1구역제1지구","녹번동 53번지","39128.00","1286033.11","2종 일반주거지역","일반미관지구,중심미관지구","33834.00","1813.21","3127.79","","","","","아파트및 부대복리시설","23.34","244.99","59","20","3","770","470","296","4","182","87","76","19","","/servlet/image/assc/2011/12/201112141116511323829011403.jpg","/servlet/image/assc/2015/08/201508071418161438924696172.jpg","/servlet/image/assc/2015/08/201508071419351438924775745.jpg","B동 203호","02-386-5988"
"11440-100005001","마포구","염리동","재개발(주택정비형)","조합","염리2구역 주택재개발정비사업 조합(뉴타운)","염리동 45","조합해산","운영","509","염리제2주택재개발구역","마포구 염리동 45번지","51748.30","148603.41","제2종일반주거지역","","37197.20","7821.30","2824.80","","","1491.00","2414.00","공동주택","21.21","244.10","71","25","4","767","306","449","12","160","80","64","16","","/servlet/image/assc/2014/10/201410151120001413339600306.jpg","/servlet/image/assc/2014/10/201410151318341413346714388.jpg","/servlet/image/assc/2014/10/201410151319211413346761216.jpg","우원빌딩 5층","02-3274-1702"
"11470-100001012","양천구","신월동","재개발(주택정비형)","조합","신정1재정비촉진구역3지구 주택재개발정비사업 조합","신월동 606","사업시행인가","운영","138","신정재정비촉진지구 제1구역 3지구 주택재개발 정비사업","양천구 신월동 606-0","11363.80","29411.90","23종일반주거지역","고도지구(공항고도지구원추표면)","25678.62","2906.60","821.40","","276.80","","260.20","공동주택(아파트)","20.90","253.88","56","20","2","175","38","137","","36","18","18","","","/servlet/image?url=images/assc/2020/01/202001031329311578025771486.jpg","/servlet/image/assc/2020/01/202001031438511578029931779.jpg","/servlet/image/assc/2020/01/202001031439551578029995314.jpg","동방아파트 상가 105호","02-2602-1510"
"11440-100006006","마포구","아현동","재개발(주택정비형)","조합","아현제4 주택재개발정비사업 조합","아현동 380","준공인가","운영","863","아현제4구역주택재개발정비사업조합","마포구 아현동 380번지","64357.70","","제2종일반주거지역","","53686.70","6568.40","3247.00","","179.60","676.00","","","22.53","227.81","","","","949","271","477","201","201","201","","","","/servlet/image/assc/2011/12/201112291014421325121282383.jpg","/servlet/image/assc/2010/01/201001151001491263517309779.jpg","/servlet/image/assc/2011/12/201112291014421325121282553.jpg","2동 3층 302호(아현동,공덕자이상가)","02-701-5133"
"11380-100001052","은평구","갈현동","재개발(주택정비형)","조합","갈현제1구역 주택재개발정비사업조합","갈현동 300","관리처분인가","운영","2649","갈현 제1주택재개발 정비사업","은평구 갈현동 300번지 일대","238850.90","652769.93","일반주거지역 자연녹지지역","1종2종3종","175794.90","30137.00","4478.00","11586.00","2264.40","7752.00","1489.00","공동주택(아파트) 및 부대복리시설","32.59","230.43","62","22","6","3484","1246","1566","672","640","300","262","78","","/servlet/image/assc/2011/10/201110141017301318555050373.jpg","/servlet/image/assc/2019/02/201902141246081550115968191.jpg","/servlet/image/assc/2019/02/201902141248441550116124815.jpg","갈현동 3층","02-388-0066"
"11200-100001001","성동구","행당동","재개발(주택정비형)","조합","행당제7구역 주택재개발정비사업 조합","행당동 128","일반분양승인","운영","536","행당제7구역주택재개발사업","성동구행당1동128번지","48345.30","121304.00","제1.2종주거지역","","33316.20","4131.00","10374.00","","","","","공동주택및 부대복리시설","20.87","249.64","","35","3","805","343","396","66","141","58","68","15","임대포함","/servlet/image?url=images/assc/2022/09/202209161438181663306698120.png","/servlet/image?url=images/assc/2022/09/202209161428461663306126045.jpg","/servlet/image?url=images/assc/2022/09/202209161428461663306126228.jpg","행당빌딩 305호","02-2292-0177"
"11470-900000138","양천구","신정동","재개발(도시정비형)","추진위원회","신정3재정비촉진3-1구역 도시환경정비사업 조합설립추진위원회","신정동 1190-1","조합설립추진위원회승인","운영","79","신정3재정비촉진3-1구역","양천구 신정3동 1190-1번지","20536.90","91621.00","","","","","","","","","","주상복합,오피스텔,근린생활시설","55.98","529.99","79","23","4","0","","","","0","","","","","/servlet/image/assc/2010/12/201012231512401293084760840.bmp","/servlet/image/assc/2011/01/201101041513271294121607596.jpg","/servlet/image/assc/2010/12/201012231622451293088965812.jpg","","02-2690-7272"
"11620-900000137","관악구","신림동","재건축","조합","미성아파트 재건축정비사업 조합","신림동 1656-","조합설립인가","운영","315","신림동 미성아파트 주택재건축 정비구역","관악구 신림동 1656번지","16706.10","58933.17","제3종일반주거지역","제3종일반주거지역","14645.30","1344.40","716.40","","","","","공동주택 및 부대복리시설","20.99","248.41","85","30","2","353","86","207","60","0","","","","","/servlet/image/assc/2011/11/201111181636411321601801666.jpg","/servlet/image/assc/2011/01/201101311705271296461127908.jpg","/servlet/image/assc/2011/01/201101311705281296461128129.jpg","SM2020타워 605호","02-862-0213"
"11650-100002011","서초구","서초동","재건축","조합","서초삼호1차아파트 주택재건축 정비사업조합","서초동 1310","이전고시","운영","708","서초삼호1차아파트 주택재건축","서초구 서초동 1311번지 외2필지","39964.20","162715.45"," 제3종 일반주거지역","서초아파트지구","","6.20","1513.10","3324.40","","","","공동주택","18.26","299.98","","35","2","844","129","388","327","63","","","63","","/servlet/image/assc/2010/10/201010111050341286761834276.jpg","/servlet/image/assc/2013/02/201302061353501360126430282.jpg","/servlet/image/assc/2014/11/201411101808541415610534790.jpg","","02-3477-5601"
"11380-100000035","은평구","역촌동","재건축","조합","역촌1구역 주택재건축정비사업조합","역촌동 189-","착공신고","운영","286","역촌1구역 주택재건축정비사업조합","역촌동189-1번지","32075.05","106819.34","제2종 일반주거지역","","27254.20","1982.30","2839.00","","","","","공동주택및부대복리","21.95","244.93","59","20","3","752","514","238","","0","","","","재건축소형주택68세대 포함","/servlet/image/assc/2010/08/201008261020211282785621461.jpg","/servlet/image/assc/2013/03/201303141416521363238212339.jpg","/servlet/image/assc/2013/03/201303141418491363238329914.jpg","2층","02-352-9711"
"11710-100002003","송파구","신천동","재건축","조합","잠실진주아파트 주택재건축정비사업조합","신천동 20-4","착공신고","운영","1586","잠실진주APT 재건축정비사업","송파구 신천동 20-4 진주APT","112558.50","524197.92","3종 일반주거지역","APT지구","104029.80","4058.70","4470.00","48919.83","0.00","0.00","0.00","APT","20.69","299.90","108","35","4","2326","589","1145","592","352","","352","","","/servlet/image/assc/2010/09/201009151601511284534111135.jpg","/servlet/image/assc/2023/08/202308231057521692755872998.jpg","/servlet/image?url=images/assc/2023/11/202311011931571698834717176.jpg","제일빌딩 301호","02-419-4355"
"11590-100005006","동작구","노량진동","재개발(주택정비형)","조합","노량진4재정비촉진구역 조합","노량진동 227-5","관리처분인가","운영","417","노량진촉진4구역","노량진227-5","40512.50","137273.18","제1종 일반주거지역 제2종 일반주거지역(혼재)","","31540.80","5554.70","1508.00","","","","1909.00","공동주택 및 부대복리시설","22.82","247.48","90","30","5","699","338","361","","145","58","64","23","","/servlet/image/assc/2010/07/201007151804371279184677144.jpg","/servlet/image?url=images/assc/2020/07/202007221436431595396203338.png","/servlet/image?url=images/assc/2020/07/202007221445381595396738559.jpg","301호","02-812-0890"
"11350-100002005","노원구","월계동","재건축","조합","월계동주택재건축정비사업조합","월계동 487-17","철거신고","운영","138","월계동 재건축정비구역","월계동 487-17번지","14929.40","54108.53","2종 일반주거지역","","","","","","","","","공동주택","26.86","250.75","61","20","3","316","217","99","","39","39","","","","/servlet/image?url=images/assc/2020/12/202012151459381608011978716.jpg","/servlet/image?url=images/assc/2020/12/202012151459381608011978755.jpg","/servlet/image?url=images/assc/2020/12/202012151459381608011978806.jpg","서울특별시 노원구 석계로9길 21, 2층 (월계동)","02-916-2237"
"11200-900000044","성동구","성수동","재개발(주택정비형)","조합","성수전략정비구역제3지구주택재개발정비사업조합","성수동2가 572-7","조합설립인가","운영","960","성수전략정비구역 제3지구","성동구 성수동2가 572-7번지","114193.00","","일반주거지역","미관지구,방화지구","65005.00","28171.00","16768.00","","4199.00","","","공동주택","18.35","316.78","150","","","1537","367","800","370","315","34","78","203","","/servlet/image/assc/2012/03/201203281423171332912197547.jpg","/servlet/image/assc/2011/11/201111171507331321510053819.jpg","/servlet/image/assc/2011/11/201111171507331321510053974.jpg","2층","02-461-4560"
"11650-100002009","서초구","잠원동","재건축","조합","신반포6차아파트 주택재건축정비사업 조합","잠원동 74-2","조합해산","운영","559","신반포6차아파트 주택재건축정비구역(아파트지구)","서초구 잠원동74-23번지 ","34745.90","","","","2474.59","1267.70","2000.00","946.30","","","","공동주택","17.00","271.23","75","","","705","","142","563","0","","","","43평:282","/servlet/image/assc/2010/10/201010081135021286505302790.jpg","/servlet/image/assc/2018/09/201809171052471537149167310.jpg","/servlet/image/assc/2018/11/201811121619331542007173321.jpg","7동 2층 1호","02-533-6077"
